exchange,stock_symbol,date,stock_price_close,stock_gain_loss_dollar,stock_gain_loss_percent,dollar_volume,stock_volume
NASDAQ,AAON,21/12/2009,19.97,0.16,0.008076729,974536,48800
NASDAQ,AAON,22/12/2009,19.81,-0.16,-0.008012018,758723,38300
NASDAQ,AAON,23/12/2009,19.66,-0.15,-0.007571933,953510,48500
NASDAQ,AAON,24/12/2009,19.88,0.22,0.011190234,149100,7500
NASDAQ,AAON,28/12/2009,19.68,-0.2,-0.010060362,505776,25700
NASDAQ,AAON,29/12/2009,19.95,0.27,0.013719512,1177050,59000
NASDAQ,AAON,30/12/2009,19.85,-0.1,-0.005012531,795985,40100
NASDAQ,AAON,31/12/2009,19.49,-0.36,-0.01813602,1029072,52800
NASDAQ,AAPL,02/01/2009,90.75,0,0,2417888550,26643400
NASDAQ,AAPL,05/01/2009,94.58,3.83,0.042203857,3991304374,42200300
NASDAQ,AAPL,06/01/2009,93.02,-1.56,-0.016493973,4283273336,46046800
NASDAQ,AAPL,07/01/2009,91.01,-2.01,-0.021608256,2447677546,26894600
NASDAQ,AAPL,08/01/2009,92.7,1.69,0.018569388,2216642400,23912000
NASDAQ,AAPL,09/01/2009,90.58,-2.12,-0.022869471,1769045516,19530200
NASDAQ,AAPL,12/01/2009,88.66,-1.92,-0.021196732,1955954858,22061300
NASDAQ,AAPL,13/01/2009,87.71,-0.95,-0.010715091,2500980482,28514200
NASDAQ,AAPL,14/01/2009,85.33,-2.38,-0.027134876,3113521040,36488000
NASDAQ,AAPL,15/01/2009,83.38,-1.95,-0.022852455,5454344390,65415500
NASDAQ,AAPL,16/01/2009,82.33,-1.05,-0.012592948,3080393416,37415200
NASDAQ,AAPL,20/01/2009,78.2,-4.13,-0.050163974,2569190620,32854100
NASDAQ,AAPL,21/01/2009,82.83,4.63,0.059207161,3222294075,38902500
NASDAQ,AAPL,22/01/2009,88.36,5.53,0.06676325,4448068908,50340300
NASDAQ,AAPL,23/01/2009,88.36,0,0,2410239900,27277500
NASDAQ,AAPL,26/01/2009,89.64,1.28,0.014486193,2216151792,24722800
NASDAQ,AAPL,27/01/2009,90.73,1.09,0.01215975,2002665144,22072800
NASDAQ,AAPL,28/01/2009,94.2,3.47,0.038245343,2898015900,30764500
NASDAQ,AAPL,29/01/2009,93,-1.2,-0.012738854,1968707700,21168900
NASDAQ,AAPL,30/01/2009,90.13,-2.87,-0.030860215,2097063723,23267100
NASDAQ,AAPL,02/02/2009,91.51,1.38,0.015311217,1824471474,19937400
NASDAQ,AAPL,03/02/2009,92.98,1.47,0.016063818,1990134622,21403900
NASDAQ,AAPL,04/02/2009,93.55,0.57,0.006130351,2700994310,28872200
NASDAQ,AAPL,05/02/2009,96.46,2.91,0.03110636,2581153848,26758800
NASDAQ,AAPL,06/02/2009,99.72,3.26,0.033796392,2447447904,24543200
NASDAQ,AAPL,09/02/2009,102.51,2.79,0.027978339,2617705611,25536100
NASDAQ,AAPL,10/02/2009,97.83,-4.68,-0.045654083,2966557788,30323600
NASDAQ,AAPL,11/02/2009,96.82,-1.01,-0.010324031,2333962284,24106200
NASDAQ,AAPL,12/02/2009,99.27,2.45,0.025304689,2897224731,29185300
